dataset,classifier,split,tn,tp,fn,fp,accuracy,precision,recall,f1
animals,cxr,train,179,179,0,0,1.0,1.0,1.0,1.0
animals,cxr,validation,39,39,0,0,1.0,1.0,1.0,1.0
animals,cxr,test,38,38,1,1,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743
animals,dinov3,train,179,179,0,0,1.0,1.0,1.0,1.0
animals,dinov3,validation,39,39,0,0,1.0,1.0,1.0,1.0
animals,dinov3,test,39,38,1,0,0.9871794871794872,1.0,0.9743589743589743,0.987012987012987
braintumor,cxr,train,1456,1757,2,4,0.9981360671015843,0.9977285633162976,0.9988629903354178,0.9982954545454545
braintumor,cxr,validation,302,371,6,11,0.9753623188405797,0.9712041884816754,0.9840848806366048,0.9776021080368906
braintumor,cxr,test,301,368,9,13,0.9681620839363242,0.9658792650918635,0.9761273209549072,0.9709762532981531
braintumor,dinov3,train,1460,1759,0,0,1.0,1.0,1.0,1.0
braintumor,dinov3,validation,312,376,1,1,0.9971014492753624,0.9973474801061007,0.9973474801061007,0.9973474801061007
braintumor,dinov3,test,312,373,4,2,0.9913169319826338,0.9946666666666667,0.9893899204244032,0.9920212765957447
pneumonia,cxr,train,1259,3406,1,18,0.9959436379163108,0.9947429906542056,0.9997064866451424,0.9972185624359537
pneumonia,cxr,validation,154,427,3,2,0.9914675767918089,0.9953379953379954,0.9930232558139535,0.9941792782305006
pneumonia,cxr,test,141,431,5,9,0.9761092150170648,0.9795454545454545,0.9885321100917431,0.9840182648401826
pneumonia,dinov3,train,1274,3404,3,3,0.9987190435525192,0.9991194599354271,0.9991194599354271,0.9991194599354271
pneumonia,dinov3,validation,149,420,10,7,0.9709897610921502,0.9836065573770492,0.9767441860465116,0.9801633605600933
pneumonia,dinov3,test,140,427,9,10,0.9675767918088737,0.977116704805492,0.9793577981651376,0.9782359679266895
baggage,cxr,train,1103,126,47,72,0.9117210682492581,0.6363636363636364,0.7283236994219653,0.6792452830188679
baggage,cxr,validation,233,26,15,16,0.8931034482758621,0.6190476190476191,0.6341463414634146,0.6265060240963856
baggage,cxr,test,227,18,26,19,0.8448275862068966,0.4864864864864865,0.4090909090909091,0.4444444444444444
baggage,dinov3,train,1175,173,0,0,1.0,1.0,1.0,1.0
baggage,dinov3,validation,246,34,7,3,0.9655172413793104,0.918918918918919,0.8292682926829268,0.8717948717948718
baggage,dinov3,test,238,33,11,8,0.9344827586206896,0.8048780487804879,0.75,0.7764705882352941
bones_fixed,cxr,train,3780,3626,0,0,1.0,1.0,1.0,1.0
bones_fixed,cxr,validation,808,775,2,2,0.9974795211090107,0.9974259974259975,0.9974259974259975,0.9974259974259975
bones_fixed,cxr,test,807,771,7,3,0.9937027707808564,0.9961240310077519,0.9910025706940874,0.9935567010309279
bones_fixed,dinov3,train,3780,3626,0,0,1.0,1.0,1.0,1.0
bones_fixed,dinov3,validation,810,776,1,0,0.9993698802772527,1.0,0.9987129987129987,0.9993560849967804
bones_fixed,dinov3,test,810,776,2,0,0.9987405541561712,1.0,0.9974293059125964,0.9987129987129987
